time,glucose
1679507460,87.0
1679507760,90.0
1679508060,90.0
1679508360,89.0
1679508660,93.0
1679508960,93.0
1679509260,91.0
1679509560,90.0
1679509860,88.0
1679510160,88.0
1679510460,87.0
1679510760,88.0
1679511060,88.0
1679511360,90.0
1679511660,90.0
1679511960,88.0
1679512260,90.0
1679512560,91.0
1679512860,87.0
1679513160,86.0
1679513460,89.0
1679513760,88.0
1679514060,87.0
1679514360,88.0
1679514660,88.0
1679514960,90.0
1679515260,93.0
1679515560,94.0
1679515860,93.0
1679516160,94.0
1679516460,93.0
1679516760,92.0
1679517060,91.0
1679517360,88.0
1679517660,84.0
1679517960,81.0
1679518260,80.0
1679518560,79.0
1679518860,78.0
1679519160,82.0
1679519460,84.0
1679519760,83.0
1679520060,84.0
1679520360,81.0
1679520660,81.0
1679520960,80.0
1679521260,80.0
1679521560,81.0
1679521860,87.0
1679522160,92.0
1679522460,96.0
1679522760,103.0
1679523060,107.0
1679523360,109.0
1679523660,109.0
1679523960,108.0
1679524260,107.0
1679524560,104.0
1679524860,100.0
1679525160,98.0
1679525460,96.0
1679525760,96.0
1679526060,93.0
1679526360,92.0
1679526660,92.0
1679526960,91.0
1679527260,92.0
1679527560,93.0
1679527860,94.0
1679528160,95.0
1679528460,97.0
1679528760,98.0
1679529060,99.0
1679529360,101.0
1679529660,102.0
1679529960,102.0
1679530260,103.0
1679530560,104.0
1679530860,104.0
1679531160,104.0
1679531460,105.0
1679531760,105.0
1679532060,105.0
1679532360,104.0
1679532660,104.0
1679532960,105.0
1679533260,105.0
1679533560,103.0
1679533860,101.0
1679534160,104.0
1679534460,105.0
1679534760,103.0
1679535060,102.0
1679535360,101.0
1679535660,104.0
1679535960,102.0
1679536260,102.0
1679536560,104.0
1679536860,101.0
1679537160,100.0
1679537460,100.0
1679538060,100.0
1679538360,99.0
1679538660,100.0
1679538960,99.0
1679539260,98.0
1679539560,93.0
1679539860,89.0
1679540160,90.0
1679540460,74.0
1679540760,74.0
1679541060,74.0
1679541360,74.0
1679541660,75.0
1679541960,76.0
1679542260,81.0
1679542560,80.0
1679542860,80.0
1679543160,80.0
1679543460,74.0
1679543760,69.0
1679544060,71.0
1679544360,67.0
1679544660,67.0
1679544960,76.0
1679545260,73.0
1679545560,73.0
1679545860,88.0
1679546160,91.0
1679546460,93.0
1679546760,91.0
1679547060,89.0
1679547360,87.0
1679547660,83.0
1679547960,80.0
1679548260,76.0
1679548560,77.0
1679548860,73.0
1679549160,61.0
1679549460,61.0
1679549760,59.0
1679550060,56.0
1679550360,61.0
1679550660,60.0
1679550960,68.0
1679551260,72.0
1679551560,72.0
1679551860,82.0
1679552160,81.0
1679552460,82.0
1679552760,82.0
1679553060,86.0
1679553360,89.0
1679553660,85.0
